Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
escritorio-continental-p-00204-03-zapelly,Escritorio Continental P-00204-03 Zapelly,color,Haya,,,,,P-00204-03H,,,Sucursal Chalchuapa,,0,0,0,0,0,
escritorio-continental-p-00204-03-zapelly,Escritorio Continental P-00204-03 Zapelly,color,Haya,,,,,P-00204-03H,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
escritorio-continental-p-00204-03-zapelly,Escritorio Continental P-00204-03 Zapelly,color,Haya,,,,,P-00204-03H,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
teclado-y-mouse-gamer-usb-unno-brave-kb6784bk-mouse,Teclado y Mouse Gamer USB UNNO BRAVE KB6784BK + Mouse,Title,Default Title,,,,,728662223413,,,Sucursal Chalchuapa,,0,0,0,5,5,
teclado-y-mouse-gamer-usb-unno-brave-kb6784bk-mouse,Teclado y Mouse Gamer USB UNNO BRAVE KB6784BK + Mouse,Title,Default Title,,,,,728662223413,,,Sucursal Santa Ana Independencia,,0,0,0,5,5,
teclado-y-mouse-gamer-usb-unno-brave-kb6784bk-mouse,Teclado y Mouse Gamer USB UNNO BRAVE KB6784BK + Mouse,Title,Default Title,,,,,728662223413,,,Sucursal Santa Ana Zarzamora,,0,0,0,5,5,
apple-watch-serie-10,Apple Watch Serie 10,Color,Negro,,,,,MWWQ3LW/A-BK,,,Sucursal Chalchuapa,,0,0,0,1,1,
apple-watch-serie-10,Apple Watch Serie 10,Color,Negro,,,,,MWWQ3LW/A-BK,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
apple-watch-serie-10,Apple Watch Serie 10,Color,Negro,,,,,MWWQ3LW/A-BK,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
apple-watch-serie-10,Apple Watch Serie 10,Color,Rosado,,,,,MWWQ3LW/A-PK,,,Sucursal Chalchuapa,,0,0,0,0,0,
apple-watch-serie-10,Apple Watch Serie 10,Color,Rosado,,,,,MWWQ3LW/A-PK,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
apple-watch-serie-10,Apple Watch Serie 10,Color,Rosado,,,,,MWWQ3LW/A-PK,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
silla-de-oficina-offipro-gpct5488,Silla de Oficina OFFIPRO GPCT5488,Title,Default Title,,,,,GPCT5488,,,Sucursal Chalchuapa,,0,0,0,2,2,
silla-de-oficina-offipro-gpct5488,Silla de Oficina OFFIPRO GPCT5488,Title,Default Title,,,,,GPCT5488,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
silla-de-oficina-offipro-gpct5488,Silla de Oficina OFFIPRO GPCT5488,Title,Default Title,,,,,GPCT5488,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
escritorio-00221-haya-120060-euro-c-portateclado,Escritorio 00221 Haya 120060 Euro C/ Portateclado,Title,Default Title,,,,,p-00221-01PT,,,Sucursal Chalchuapa,,0,0,0,0,0,
escritorio-00221-haya-120060-euro-c-portateclado,Escritorio 00221 Haya 120060 Euro C/ Portateclado,Title,Default Title,,,,,p-00221-01PT,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
escritorio-00221-haya-120060-euro-c-portateclado,Escritorio 00221 Haya 120060 Euro C/ Portateclado,Title,Default Title,,,,,p-00221-01PT,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
laptop-dell-pro-16-pc16250-intel-core-ultra-5-235u-pantalla-16-memoria-16gb-ddr5-almacenamiento-512gb-ssd-windows-11-pro,"Laptop Dell Pro 16 PC16250 Intel Core Ultra 5 235U, Pantalla 16 Plg, Memoria 16GB DDR5, Almacenamiento 512GB SSD, Windows 11 Pro",Title,Default Title,,,,,PC16250-59D1R,,,Sucursal Chalchuapa,,0,0,0,0,0,
laptop-dell-pro-16-pc16250-intel-core-ultra-5-235u-pantalla-16-memoria-16gb-ddr5-almacenamiento-512gb-ssd-windows-11-pro,"Laptop Dell Pro 16 PC16250 Intel Core Ultra 5 235U, Pantalla 16 Plg, Memoria 16GB DDR5, Almacenamiento 512GB SSD, Windows 11 Pro",Title,Default Title,,,,,PC16250-59D1R,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
laptop-dell-pro-16-pc16250-intel-core-ultra-5-235u-pantalla-16-memoria-16gb-ddr5-almacenamiento-512gb-ssd-windows-11-pro,"Laptop Dell Pro 16 PC16250 Intel Core Ultra 5 235U, Pantalla 16 Plg, Memoria 16GB DDR5, Almacenamiento 512GB SSD, Windows 11 Pro",Title,Default Title,,,,,PC16250-59D1R,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
teclado-gamer-usb-havit-rgb-backlit-mecanico,Teclado Gamer USB Havit RGB Backlit Mecánico,color,Rosa/Blanco,,,,,KB885LPK/WH,,,Sucursal Chalchuapa,,0,0,0,0,0,
teclado-gamer-usb-havit-rgb-backlit-mecanico,Teclado Gamer USB Havit RGB Backlit Mecánico,color,Rosa/Blanco,,,,,KB885LPK/WH,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
